trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
2026-06-15,24000,PE,2026-06-15 09:40:00,124.5,2026-06-15 10:30:00,122.6,-1.9000000000000057,stop,106.925,23.0,-4.900000000000006,True,False,1,-1.9000000000000057,300.46113547852246,False,-175.96113547852246,False,False,red,False,False,False
2026-06-15,24000,PE,2026-06-15 10:35:00,123.1,2026-06-15 10:50:00,107.35,-15.75,stop,106.925,1.2000000000000028,-21.69999999999999,False,False,2,-17.650000000000006,187.93943683862977,False,-64.83943683862978,False,False,green,False,False,False
2026-06-15,24000,PE,2026-06-15 11:00:00,113.55,2026-06-15 13:05:00,132.55,19.000000000000014,stop,106.925,51.45,-5.3999999999999915,True,True,2,1.3500000000000085,157.75181182264942,False,-44.20181182264942,False,False,green,False,False,False
2026-06-15,24000,PE,2026-06-15 14:30:00,119.7,2026-06-15 15:15:00,156.6,36.89999999999999,stop,106.925,80.2,-10.100000000000009,True,True,2,38.25,140.9742004474213,False,-21.274200447421308,False,False,red,False,False,False
2026-06-17,24050,PE,2026-06-17 09:25:00,185.95,2026-06-17 09:35:00,169.8,-16.149999999999977,stop,169.25,1.700000000000017,-16.549999999999983,False,False,1,-16.149999999999977,202.3534010298392,False,-16.403401029839216,True,False,red,False,False,False
2026-06-17,24050,CE,2026-06-17 09:45:00,170.65,2026-06-17 11:55:00,154.55,-16.099999999999994,stop,169.25,11.299999999999983,-16.200000000000017,False,False,2,-32.24999999999997,141.97845542311353,True,28.671544576886475,False,False,green,False,False,False
2026-06-17,24050,PE,2026-06-17 12:20:00,170.8,2026-06-17 13:35:00,154.75,-16.05000000000001,stop,169.25,12.949999999999989,-19.30000000000001,False,False,3,-48.29999999999998,163.5397619249867,True,7.260238075013319,True,True,green,False,True,True
2026-06-18,24050,CE,2026-06-18 09:20:00,150.15,2026-06-18 10:35:00,132.75,-17.400000000000006,stop,142.775,25.25,-17.400000000000006,True,False,1,-17.400000000000006,154.33683728901119,False,-4.18683728901118,True,False,green,True,True,True
2026-06-18,24050,PE,2026-06-18 11:15:00,143.7,2026-06-18 11:55:00,124.35,-19.349999999999994,stop,142.775,8.900000000000006,-20.249999999999986,False,False,2,-36.75,121.4606521558542,True,22.239347844145783,False,False,green,False,False,False
2026-06-18,24050,CE,2026-06-18 12:25:00,158.7,2026-06-18 14:05:00,139.85,-18.849999999999994,stop,142.775,7.900000000000006,-20.69999999999999,False,False,3,-55.599999999999994,138.71758823141622,True,19.982411768583773,False,False,green,False,False,False
